Entry example	Full entry name	Example tested	IsException	Usage Frequency	Note
A.j.	Andrew Jackson				http://dbpedia.org/resource/Andrew_Jackson
A.j.	Joule				http://dbpedia.org/resource/Joule
A.j.	List of Playboy Playmates of 2008				http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2008
A.j.	Azerbaijan				http://dbpedia.org/resource/Azerbaijan
A.j.	A. J. Allmendinger				http://dbpedia.org/resource/A._J._Allmendinger
A.j.	A. J. McLean				http://dbpedia.org/resource/A._J._McLean
A.j.	A. J. Croce				http://dbpedia.org/resource/A._J._Croce
A.j.	Aj (newspaper)				http://dbpedia.org/resource/Aj_(newspaper)
A.j.	Adherens junction				http://dbpedia.org/resource/Adherens_junction
A.j.	A. J. Calloway				http://dbpedia.org/resource/A._J._Calloway
A.j.	A. J. Foyt				http://dbpedia.org/resource/A._J._Foyt
A.j.	The Astronomical Journal				http://dbpedia.org/resource/The_Astronomical_Journal
A.j.	A. J. Burnett				http://dbpedia.org/resource/A._J._Burnett
A.j.	A. J. Jacobs				http://dbpedia.org/resource/A._J._Jacobs
A.j.	A. J. Pierzynski				http://dbpedia.org/resource/A._J._Pierzynski
A.j.	A. J. Price				http://dbpedia.org/resource/A._J._Price
A.j.	A. J. Hawk				http://dbpedia.org/resource/A._J._Hawk
A.j.	Adrienne Janic				http://dbpedia.org/resource/Adrienne_Janic
A.k.	Allakaket, Alaska				http://dbpedia.org/resource/Allakaket,_Alaska
A.k.	AK-101				http://dbpedia.org/resource/AK-101
A.k.	Armia Krajowa				http://dbpedia.org/resource/Armia_Krajowa
A.k.	Applied kinesiology				http://dbpedia.org/resource/Applied_kinesiology
A.k.	Azad Kashmir				http://dbpedia.org/resource/Azad_Kashmir
A.k.	AK (radio program)				http://dbpedia.org/resource/AK_(radio_program)
A.k.	AK Steel Holding				http://dbpedia.org/resource/AK_Steel_Holding
A.k.	Alaska				http://dbpedia.org/resource/Alaska
A.k.	AK Press				http://dbpedia.org/resource/AK_Press
A.k.	American Kestrel				http://dbpedia.org/resource/American_Kestrel
A.k.	Superior frontal gyrus				http://dbpedia.org/resource/Superior_frontal_gyrus
A.k.	Aamir Khan				http://dbpedia.org/resource/Aamir_Khan
A.k.	Unique key				http://dbpedia.org/resource/Unique_key
A.k.	Ak				http://dbpedia.org/resource/Ak
A.k.	P$C				http://dbpedia.org/resource/P$C
A.k.	Akan language				http://dbpedia.org/resource/Akan_language
A.k.	Do or Die				http://dbpedia.org/resource/Do_or_Die
A.k.	Actinic keratosis				http://dbpedia.org/resource/Actinic_keratosis
A.k.	AK-103				http://dbpedia.org/resource/AK-103
A.k.	AK-107				http://dbpedia.org/resource/AK-107
A.k.	AK-47				http://dbpedia.org/resource/AK-47
A.k.	AK-74				http://dbpedia.org/resource/AK-74
A.k.a.	Amputation				http://dbpedia.org/resource/Amputation
A.k.a.	Aka, Hungary				http://dbpedia.org/resource/Aka,_Hungary
A.k.a.	Aka people				http://dbpedia.org/resource/Aka_people
A.k.a.	Aga Khan Academies				http://dbpedia.org/resource/Aga_Khan_Academies
A.k.a.	AKA (film)				http://dbpedia.org/resource/AKA_(film)
A.k.a.	Aka (sailing)				http://dbpedia.org/resource/Aka_(sailing)
A.k.a.	Alpha Kappa Alpha				http://dbpedia.org/resource/Alpha_Kappa_Alpha
A.k.a.	Aka (Burmese)				http://dbpedia.org/resource/Aka_(Burmese)
A.k.a.	American Kickboxing Academy				http://dbpedia.org/resource/American_Kickboxing_Academy
A.k.a.	Aka, Iran				http://dbpedia.org/resource/Aka,_Iran
A.k.a.	Brice Aka				http://dbpedia.org/resource/Brice_Aka
A.k.a.	Channel AKA				http://dbpedia.org/resource/Channel_AKA
A.k.a.	Histeria!				http://dbpedia.org/resource/Histeria!
A.k.a.	Hruso people				http://dbpedia.org/resource/Hruso_people
A.k.a.	Australian Karting Association				http://dbpedia.org/resource/Australian_Karting_Association
A.k.a.	Aka, Fukuoka				http://dbpedia.org/resource/Aka,_Fukuoka
A.k.a.	AKA (security)				http://dbpedia.org/resource/AKA_(security)
A.k.a.	Arunachal Pradesh				http://dbpedia.org/resource/Arunachal_Pradesh
A.l.	"Weird Al" Yankovic				http://dbpedia.org/resource/%22Weird_Al%22_Yankovic
A.l.	A L				http://dbpedia.org/resource/A_L
A.l.	Alternative List				http://dbpedia.org/resource/Alternative_List
A.l.	Al Davis (boxer)				http://dbpedia.org/resource/Al_Davis_(boxer)
A.l.	List of Home Improvement characters				http://dbpedia.org/resource/List_of_Home_Improvement_characters
A.l.	Anno Lucis				http://dbpedia.org/resource/Anno_Lucis
A.l.	Al McCoy (boxer)				http://dbpedia.org/resource/Al_McCoy_(boxer)
A.l.	AL (automobile)				http://dbpedia.org/resource/AL_(automobile)
A.l.	Al Capone				http://dbpedia.org/resource/Al_Capone
A.l.	Al Bundy				http://dbpedia.org/resource/Al_Bundy
A.l.	Al Green				http://dbpedia.org/resource/Al_Green
A.l.	Al Jolson				http://dbpedia.org/resource/Al_Jolson
A.l.	Aladdin (Disney character)				http://dbpedia.org/resource/Aladdin_(Disney_character)
A.l.	.al				http://dbpedia.org/resource/.al
A.l.	Al Gore				http://dbpedia.org/resource/Al_Gore
A.l.	Alagoas				http://dbpedia.org/resource/Alagoas
A.l.	Aluminium				http://dbpedia.org/resource/Aluminium
A.l.	Arab League				http://dbpedia.org/resource/Arab_League
A.l.	Province of Alessandria				http://dbpedia.org/resource/Province_of_Alessandria
A.l.	X86				http://dbpedia.org/resource/X86
A.l.	Al Roker				http://dbpedia.org/resource/Al_Roker
A.l.	Al Smith				http://dbpedia.org/resource/Al_Smith
A.l.	Al Pacino				http://dbpedia.org/resource/Al_Pacino
A.l.	-al				http://dbpedia.org/resource/-al
A.l.	Abraham Lincoln				http://dbpedia.org/resource/Abraham_Lincoln
A.l.	Albania				http://dbpedia.org/resource/Albania
A.l.	Asia League Ice Hockey				http://dbpedia.org/resource/Asia_League_Ice_Hockey
A.l.	American Life				http://dbpedia.org/resource/American_Life
A.l.	Al Sapienza				http://dbpedia.org/resource/Al_Sapienza
A.l.	List of EastEnders characters (2006)				http://dbpedia.org/resource/List_of_EastEnders_characters_(2006)
A.l.	The Book of the Law				http://dbpedia.org/resource/The_Book_of_the_Law
A.l.	AL postcode area				http://dbpedia.org/resource/AL_postcode_area
A.l.	Alabama				http://dbpedia.org/resource/Alabama
A.l.	Al Rosen				http://dbpedia.org/resource/Al_Rosen
A.l.	Allen County, Kansas				http://dbpedia.org/resource/Allen_County,_Kansas
A.l.	Alec Lazo				http://dbpedia.org/resource/Alec_Lazo
A.l.	Al Basti				http://dbpedia.org/resource/Al_Basti
A.l.	Artificial life				http://dbpedia.org/resource/Artificial_life
A.l.	Al Calavicci				http://dbpedia.org/resource/Al_Calavicci
A.l.	Al (folklore)				http://dbpedia.org/resource/Al_(folklore)
A.l.	Al Israel				http://dbpedia.org/resource/Al_Israel
A.l.	Al-				http://dbpedia.org/resource/Al-
A.l.	Almanor Railroad				http://dbpedia.org/resource/Almanor_Railroad
A.l.	Albert (given name)				http://dbpedia.org/resource/Albert_(given_name)
A.l.	Alfred (name)				http://dbpedia.org/resource/Alfred_(name)
A.l.	League of Ireland				http://dbpedia.org/resource/League_of_Ireland
A.l.	Al Singer				http://dbpedia.org/resource/Al_Singer
A.l.	GCE Advanced Level				http://dbpedia.org/resource/GCE_Advanced_Level
A.l.	List of Toy Story characters				http://dbpedia.org/resource/List_of_Toy_Story_characters
A.l.	Alphonse Elric				http://dbpedia.org/resource/Alphonse_Elric
A.l.	American League				http://dbpedia.org/resource/American_League
A.l.	Al, Iran				http://dbpedia.org/resource/Al,_Iran
A.l.	Accursed Lands				http://dbpedia.org/resource/Accursed_Lands
A.l.	Al Levine				http://dbpedia.org/resource/Al_Levine
A.l.	Allegheny Airlines				http://dbpedia.org/resource/Allegheny_Airlines
A.l.	Allylescaline				http://dbpedia.org/resource/Allylescaline
A.m.	Amharic language				http://dbpedia.org/resource/Amharic_language
A.m.	.am				http://dbpedia.org/resource/.am
A.m.	A minor				http://dbpedia.org/resource/A_minor
A.m.	Americium				http://dbpedia.org/resource/Americium
A.m.	Armenia				http://dbpedia.org/resource/Armenia
A.m.	Automated Mathematician				http://dbpedia.org/resource/Automated_Mathematician
A.m.	Aeroméxico				http://dbpedia.org/resource/Aerom%C3%A9xico
A.m.	3D printing				http://dbpedia.org/resource/3D_printing
A.m.	Amplitude modulation				http://dbpedia.org/resource/Amplitude_modulation
A.m.	I Have No Mouth, and I Must Scream				http://dbpedia.org/resource/I_Have_No_Mouth,_and_I_Must_Scream
A.m.	Orders of magnitude (length)				http://dbpedia.org/resource/Orders_of_magnitude_(length)
A.m.	A&M				http://dbpedia.org/resource/A&M
A.m.	Arts et Métiers ParisTech				http://dbpedia.org/resource/Arts_et_M%C3%A9tiers_ParisTech
A.m.	Arkansas and Missouri Railroad				http://dbpedia.org/resource/Arkansas_and_Missouri_Railroad
A.m.	Anno Mundi				http://dbpedia.org/resource/Anno_Mundi
A.m.	Air mass (astronomy)				http://dbpedia.org/resource/Air_mass_(astronomy)
A.m.	Air marshal				http://dbpedia.org/resource/Air_marshal
A.m.	Aviation Structural Mechanic				http://dbpedia.org/resource/Aviation_Structural_Mechanic
A.m.	American Morning				http://dbpedia.org/resource/American_Morning
A.m.	AM broadcasting				http://dbpedia.org/resource/AM_broadcasting
A.m.	Anti-materiel rifle				http://dbpedia.org/resource/Anti-materiel_rifle
A.m.	12-hour clock				http://dbpedia.org/resource/12-hour_clock
A.m.	AM (musician)				http://dbpedia.org/resource/AM_(musician)
A.m.	AM2				http://dbpedia.org/resource/AM2
A.m.	Assembly Member				http://dbpedia.org/resource/Assembly_Member
A.m.	`am				http://dbpedia.org/resource/%60am
A.m.	Adrenomedullin				http://dbpedia.org/resource/Adrenomedullin
A.m.	Advanced manufacturing				http://dbpedia.org/resource/Advanced_manufacturing
A.m.	Era of Martyrs				http://dbpedia.org/resource/Era_of_Martyrs
A.m.	AM (ABC Radio)				http://dbpedia.org/resource/AM_(ABC_Radio)
A.m.	Adam Goldstein				http://dbpedia.org/resource/Adam_Goldstein
A.m.	Automake				http://dbpedia.org/resource/Automake
A.m.o.	Add-on (Mozilla)				http://dbpedia.org/resource/A.m.o.
A.n.	Aragonese language				http://dbpedia.org/resource/Aragonese_language
A.n.	Antonov				http://dbpedia.org/resource/Antonov
A.n.	Province of Ancona				http://dbpedia.org/resource/Province_of_Ancona
A.n.	Acrylonitrile				http://dbpedia.org/resource/Acrylonitrile
A.n.	Andaman and Nicobar Islands				http://dbpedia.org/resource/Andaman_and_Nicobar_Islands
A.n.	Andorra				http://dbpedia.org/resource/Andorra
A.n.	Angola				http://dbpedia.org/resource/Angola
A.n.	Annam (French protectorate)				http://dbpedia.org/resource/Annam_(French_protectorate)
A.n.	Anorexia nervosa				http://dbpedia.org/resource/Anorexia_nervosa
A.n.	Netherlands Antilles				http://dbpedia.org/resource/Netherlands_Antilles
A.n.	National Alliance (Italy)				http://dbpedia.org/resource/National_Alliance_(Italy)
A.n.	Dutch language				http://dbpedia.org/resource/Dutch_language
A.n.	AnimeNEXT				http://dbpedia.org/resource/AnimeNEXT
A.n.	Anxi County				http://dbpedia.org/resource/Anxi_County
A.n.	Red bean paste				http://dbpedia.org/resource/Red_bean_paste
A.n.	An (goddess)				http://dbpedia.org/resource/An_(goddess)
A.n.	Ammonium nitrate				http://dbpedia.org/resource/Ammonium_nitrate
A.n.	Anode				http://dbpedia.org/resource/Anode
A.n.	Ahn (Korean name)				http://dbpedia.org/resource/Ahn_(Korean_name)
A.n.	Ando				http://dbpedia.org/resource/Ando
A.n.	Avisa Nordland				http://dbpedia.org/resource/Avisa_Nordland
A.n.	Anime North				http://dbpedia.org/resource/Anime_North
A.n.	English language				http://dbpedia.org/resource/English_language
A.n.	AN thread				http://dbpedia.org/resource/AN_thread
A.n.	Anderson County, Kansas				http://dbpedia.org/resource/Anderson_County,_Kansas
A.n.	English articles				http://dbpedia.org/resource/English_articles
A.n.	Anu				http://dbpedia.org/resource/Anu
A.n.	An (Shinto)				http://dbpedia.org/resource/An_(Shinto)
A.n.	Australian National Railways Commission				http://dbpedia.org/resource/Australian_National_Railways_Commission
A.n.	AN Railway				http://dbpedia.org/resource/AN_Railway
A.n.	An (Chinese surname)				http://dbpedia.org/resource/An_(Chinese_surname)
A.n.	Ansett Australia				http://dbpedia.org/resource/Ansett_Australia
A.n.	An County				http://dbpedia.org/resource/An_County
A.n.	Datasheet				http://dbpedia.org/resource/Datasheet
A.n.	Anyang				http://dbpedia.org/resource/Anyang
A.n.	Acanthosis nigricans				http://dbpedia.org/resource/Acanthosis_nigricans
A.n.	Aryan Nations				http://dbpedia.org/resource/Aryan_Nations
A.n.	Astronomische Nachrichten				http://dbpedia.org/resource/Astronomische_Nachrichten
A.o.	Ao (color)				http://dbpedia.org/resource/Ao_(color)
A.o.	Todd-AO				http://dbpedia.org/resource/Todd-AO
A.o.	AO Recordings				http://dbpedia.org/resource/AO_Recordings
A.o.	Aaron Owens				http://dbpedia.org/resource/Aaron_Owens
A.o.	Aomusic				http://dbpedia.org/resource/Aomusic
A.o.	Ao (turtle)				http://dbpedia.org/resource/Ao_(turtle)
A.o.	Arbeitsgemeinschaft für Osteosynthesefragen				http://dbpedia.org/resource/Arbeitsgemeinschaft_f%C3%BCr_Osteosynthesefragen
A.o.	Ou (surname)				http://dbpedia.org/resource/Ou_(surname)
A.o.	Ao languages				http://dbpedia.org/resource/Ao_languages
A.o.	Ao Naga				http://dbpedia.org/resource/Ao_Naga
A.o.	Adaptive optics				http://dbpedia.org/resource/Adaptive_optics
A.o.	Administrative Office of the United States Courts				http://dbpedia.org/resource/Administrative_Office_of_the_United_States_Courts
A.o.	Ao (mythology)				http://dbpedia.org/resource/Ao_(mythology)
A.o.	List of Forgotten Realms deities				http://dbpedia.org/resource/List_of_Forgotten_Realms_deities
A.o.	NSDAP/AO				http://dbpedia.org/resource/NSDAP/AO
A.o.	Alpha and Omega				http://dbpedia.org/resource/Alpha_and_Omega
A.o.	Autonomous okrug				http://dbpedia.org/resource/Autonomous_okrug
A.o.	Area of operations				http://dbpedia.org/resource/Area_of_operations
A.o.	Athletics Ontario				http://dbpedia.org/resource/Athletics_Ontario
A.o.	Arctic oscillation				http://dbpedia.org/resource/Arctic_oscillation
A.o.	Aviation Ordnanceman				http://dbpedia.org/resource/Aviation_Ordnanceman
A.o.	Alpha and Omega (disambiguation)				http://dbpedia.org/resource/Alpha_and_Omega_(disambiguation)
A.o.	.ao				http://dbpedia.org/resource/.ao
A.o.	Angola				http://dbpedia.org/resource/Angola
A.o.	Autonomous oblast				http://dbpedia.org/resource/Autonomous_oblast
A.o.	Professor				http://dbpedia.org/resource/Professor
A.p.	Acetone peroxide				http://dbpedia.org/resource/Acetone_peroxide
A.p.	Ang Pamantasan				http://dbpedia.org/resource/Ang_Pamantasan
A.p.	Automotive Products				http://dbpedia.org/resource/Automotive_Products
A.p.	Autophagy				http://dbpedia.org/resource/Autophagy
A.p.	Allied Press				http://dbpedia.org/resource/Allied_Press
A.p.	Applied physics				http://dbpedia.org/resource/Applied_physics
A.p.	Province of Ascoli Piceno				http://dbpedia.org/resource/Province_of_Ascoli_Piceno
A.p.	ACID Pro				http://dbpedia.org/resource/ACID_Pro
A.p.	Ap (water)				http://dbpedia.org/resource/Ap_(water)
A.p.	Accounts payable				http://dbpedia.org/resource/Accounts_payable
A.p.	Anatomy				http://dbpedia.org/resource/Anatomy
A.p.	Ammonium perchlorate				http://dbpedia.org/resource/Ammonium_perchlorate
A.p.	Andhra Pradesh				http://dbpedia.org/resource/Andhra_Pradesh
A.p.	Arithmetic progression				http://dbpedia.org/resource/Arithmetic_progression
A.p.	Associated Press				http://dbpedia.org/resource/Associated_Press
A.p.	Autopilot				http://dbpedia.org/resource/Autopilot
A.p.	Blood pressure				http://dbpedia.org/resource/Blood_pressure
A.p.	Information retrieval				http://dbpedia.org/resource/Information_retrieval
A.p.	Iranian calendars				http://dbpedia.org/resource/Iranian_calendars
A.p.	Professor				http://dbpedia.org/resource/Professor
A.p.	Wireless access point				http://dbpedia.org/resource/Wireless_access_point
A.p.	Alternative Press				http://dbpedia.org/resource/Alternative_Press
A.p.	Amapá				http://dbpedia.org/resource/Amap%C3%A1
A.p.	The Great Atlantic & Pacific Tea Company				http://dbpedia.org/resource/The_Great_Atlantic_&_Pacific_Tea_Company
A.p.	Krasue				http://dbpedia.org/resource/Krasue
A.p.	Asia-Pacific				http://dbpedia.org/resource/Asia-Pacific
A.p.	Atmospheric pressure				http://dbpedia.org/resource/Atmospheric_pressure
A.p.	Area postrema				http://dbpedia.org/resource/Area_postrema
A.p.	Ap and Bp stars				http://dbpedia.org/resource/Ap_and_Bp_stars
A.p.	Applied psychology				http://dbpedia.org/resource/Applied_psychology
A.p.	Atlantic Philanthropies				http://dbpedia.org/resource/Atlantic_Philanthropies
A.p.	Animal Planet				http://dbpedia.org/resource/Animal_Planet
A.p.	Anomalous propagation				http://dbpedia.org/resource/Anomalous_propagation
A.p.	Aircraft maintenance technician				http://dbpedia.org/resource/Aircraft_maintenance_technician
A.p.	Armor-piercing shot and shell				http://dbpedia.org/resource/Armor-piercing_shot_and_shell
A.p.	Production theory				http://dbpedia.org/resource/Production_theory
A.p.	AP Poll				http://dbpedia.org/resource/AP_Poll
A.p.	Advance parole				http://dbpedia.org/resource/Advance_parole
A.p.	Application profile				http://dbpedia.org/resource/Application_profile
A.p.	Address plus Port				http://dbpedia.org/resource/Address_plus_Port
A.p.	Adjective phrase				http://dbpedia.org/resource/Adjective_phrase
A.p.	Attachment parenting				http://dbpedia.org/resource/Attachment_parenting
A.p.	Action potential				http://dbpedia.org/resource/Action_potential
A.p.	PSPACE				http://dbpedia.org/resource/PSPACE
A.p.	Alkaline phosphatase				http://dbpedia.org/resource/Alkaline_phosphatase
A.p.	Amalgamation property				http://dbpedia.org/resource/Amalgamation_property
A.p.	Anteroposterior				http://dbpedia.org/resource/Anteroposterior
A.p.	Austin Peay State University				http://dbpedia.org/resource/Austin_Peay_State_University
A.p.	APP				http://dbpedia.org/resource/APP
A.p.	Vice-principal				http://dbpedia.org/resource/Vice-principal
A.p.	Administration Police				http://dbpedia.org/resource/Administration_Police
A.p.	Armenian Power				http://dbpedia.org/resource/Armenian_Power
A.p.	Colporrhaphy				http://dbpedia.org/resource/Colporrhaphy
A.p.	Advanced Placement				http://dbpedia.org/resource/Advanced_Placement
A.p.	Agent Provocateur (lingerie)				http://dbpedia.org/resource/Agent_Provocateur_(lingerie)
A.p.	Acción Popular				http://dbpedia.org/resource/Acci%C3%B3n_Popular
A.p.	Action point				http://dbpedia.org/resource/Action_point
A.p.	The Great Atlantic & Pacific Tea Company (disambiguation)				http://dbpedia.org/resource/The_Great_Atlantic_&_Pacific_Tea_Company_(disambiguation)
A.p.	AP (rapper)				http://dbpedia.org/resource/AP_(rapper)
A.p.	Atlantic and Pacific Railroad				http://dbpedia.org/resource/Atlantic_and_Pacific_Railroad
A.p.	Asian pride				http://dbpedia.org/resource/Asian_pride
A.p.	Stimulant psychosis				http://dbpedia.org/resource/Stimulant_psychosis
A.p.e.	Piaggio Ape				http://dbpedia.org/resource/Piaggio_Ape
A.p.e.	APE tag				http://dbpedia.org/resource/APE_tag
A.p.e.	A*P*E				http://dbpedia.org/resource/A*P*E
A.p.e.	Annual premium equivalent				http://dbpedia.org/resource/Annual_premium_equivalent
A.p.e.	The Apes				http://dbpedia.org/resource/The_Apes
A.p.e.	Artists' Project Earth				http://dbpedia.org/resource/Artists'_Project_Earth
A.p.e.	Ape (comics)				http://dbpedia.org/resource/Ape_(comics)
A.p.e.	Anomalous photovoltaic effect				http://dbpedia.org/resource/Anomalous_photovoltaic_effect
A.p.e.	Alocasia macrorrhizos				http://dbpedia.org/resource/Alocasia_macrorrhizos
A.p.e.	Auckland Peering Exchange				http://dbpedia.org/resource/Auckland_Peering_Exchange
A.p.e.	Ape, Latvia				http://dbpedia.org/resource/Ape,_Latvia
A.p.e.	Convective available potential energy				http://dbpedia.org/resource/Convective_available_potential_energy
A.p.e.	Ape				http://dbpedia.org/resource/Ape
A.p.e.	Alternative Press Expo				http://dbpedia.org/resource/Alternative_Press_Expo
A.p.e.	Adapted physical education				http://dbpedia.org/resource/Adapted_physical_education
A.p.e.	Creatures (company)				http://dbpedia.org/resource/Creatures_(company)
A.p.e.	Comet (programming)				http://dbpedia.org/resource/Comet_(programming)
A.q.	AdventureQuest				http://dbpedia.org/resource/AdventureQuest
A.q.	Aqua				http://dbpedia.org/resource/Aqua
A.q.	Alliance Quebec				http://dbpedia.org/resource/Alliance_Quebec
A.q.	L'Aquila				http://dbpedia.org/resource/L'Aquila
A.q.	Autism Spectrum Quotient				http://dbpedia.org/resource/Autism_Spectrum_Quotient
A.q.	Australian Quarterly				http://dbpedia.org/resource/Australian_Quarterly
A.q.	.aq				http://dbpedia.org/resource/.aq
A.q.	Al-Qaeda				http://dbpedia.org/resource/Al-Qaeda
A.q.	Anthraquinone				http://dbpedia.org/resource/Anthraquinone
A.q.	Quantization (signal processing)				http://dbpedia.org/resource/Quantization_(signal_processing)
A.q.	Aqueous solution				http://dbpedia.org/resource/Aqueous_solution
A.q.	Oracle Advanced Queuing				http://dbpedia.org/resource/Oracle_Advanced_Queuing
A.q.	Automatic Qualifying conference				http://dbpedia.org/resource/Automatic_Qualifying_conference
A.r.	Alfa Romeo				http://dbpedia.org/resource/Alfa_Romeo
A.r.	AR-15				http://dbpedia.org/resource/AR-15
A.r.	A. R. Rahman				http://dbpedia.org/resource/A._R._Rahman
A.r.	Call stack				http://dbpedia.org/resource/Call_stack
A.r.	Augmented reality				http://dbpedia.org/resource/Augmented_reality
A.r.	Autoregressive model				http://dbpedia.org/resource/Autoregressive_model
A.r.	Province of Arezzo				http://dbpedia.org/resource/Province_of_Arezzo
A.r.	.ar				http://dbpedia.org/resource/.ar
A.r.	Accounts receivable				http://dbpedia.org/resource/Accounts_receivable
A.r.	Arad County				http://dbpedia.org/resource/Arad_County
A.r.	Architect				http://dbpedia.org/resource/Architect
A.r.	Argentina				http://dbpedia.org/resource/Argentina
A.r.	Argon				http://dbpedia.org/resource/Argon
A.r.	Artificial respiration				http://dbpedia.org/resource/Artificial_respiration
A.r.	Arunachal Pradesh				http://dbpedia.org/resource/Arunachal_Pradesh
A.r.	Assistant referee (association football)				http://dbpedia.org/resource/Assistant_referee_(association_football)
A.r.	Atlantic Records				http://dbpedia.org/resource/Atlantic_Records
A.r.	Karan Singh Grover				http://dbpedia.org/resource/Karan_Singh_Grover
A.r.	Abbey Road				http://dbpedia.org/resource/Abbey_Road
A.r.	Aerolíneas Argentinas				http://dbpedia.org/resource/Aerol%C3%ADneas_Argentinas
A.r.	American Revolution				http://dbpedia.org/resource/American_Revolution
A.r.	Arabic language				http://dbpedia.org/resource/Arabic_language
A.r.	Abandonia				http://dbpedia.org/resource/Abandonia
A.r.	Architectural Review				http://dbpedia.org/resource/Architectural_Review
A.r.	Stars!				http://dbpedia.org/resource/Stars!
A.r.	Adrenergic receptor				http://dbpedia.org/resource/Adrenergic_receptor
A.r.	Androgen receptor				http://dbpedia.org/resource/Androgen_receptor
A.r.	Animal rights				http://dbpedia.org/resource/Animal_rights
A.r.	Action Replay				http://dbpedia.org/resource/Action_Replay
A.r.	Aryl				http://dbpedia.org/resource/Aryl
A.r.	Arkansas				http://dbpedia.org/resource/Arkansas
A.r.	Abbey Road Studios				http://dbpedia.org/resource/Abbey_Road_Studios
A.r.	Active record pattern				http://dbpedia.org/resource/Active_record_pattern
A.r.	Accelerated Reader				http://dbpedia.org/resource/Accelerated_Reader
A.r.	Appenzell Ausserrhoden				http://dbpedia.org/resource/Appenzell_Ausserrhoden
A.r.	Aspect ratio (image)				http://dbpedia.org/resource/Aspect_ratio_(image)
A.r.	Aspect ratio (wing)				http://dbpedia.org/resource/Aspect_ratio_(wing)
A.r.	Archimedes number				http://dbpedia.org/resource/Archimedes_number
A.r.	Alex Rider				http://dbpedia.org/resource/Alex_Rider
A.r.	Absolute Return + Alpha				http://dbpedia.org/resource/Absolute_Return_+_Alpha
A.r.	Armadillo Run				http://dbpedia.org/resource/Armadillo_Run
A.r.	Arlesdale Railway				http://dbpedia.org/resource/Arlesdale_Railway
A.r.	Ar (city)				http://dbpedia.org/resource/Ar_(city)
A.r.	Alternate reality				http://dbpedia.org/resource/Alternate_reality
A.r.	Ace Online				http://dbpedia.org/resource/Ace_Online
A.r.	The Arizona Republic				http://dbpedia.org/resource/The_Arizona_Republic
A.r.	Artists and repertoire				http://dbpedia.org/resource/Artists_and_repertoire
A.r.	Argent				http://dbpedia.org/resource/Argent
A.r.	Anti-reflective coating				http://dbpedia.org/resource/Anti-reflective_coating
A.r.	Ar (Unix)				http://dbpedia.org/resource/Ar_(Unix)
A.r.	Recessive trait				http://dbpedia.org/resource/Recessive_trait
A.s.	Almost surely				http://dbpedia.org/resource/A.s.
A.s.l.	American Sign Language				http://dbpedia.org/resource/A.s.l.
A.t.	Ataxia telangiectasia				http://dbpedia.org/resource/Ataxia_telangiectasia
A.t.	Anaerobic exercise				http://dbpedia.org/resource/Anaerobic_exercise
A.t.	Atchison County, Kansas				http://dbpedia.org/resource/Atchison_County,_Kansas
A.t.	Aviation Electronics Technician (United States Navy rating)				http://dbpedia.org/resource/Aviation_Electronics_Technician_(United_States_Navy_rating)
A.t.	Aarne–Thompson classification system				http://dbpedia.org/resource/Aarne%E2%80%93Thompson_classification_system
A.t.	At (Windows)				http://dbpedia.org/resource/At_(Windows)
A.t.	Ampere-turn				http://dbpedia.org/resource/Ampere-turn
A.t.	Anti-tank warfare				http://dbpedia.org/resource/Anti-tank_warfare
A.t.	At (Unix)				http://dbpedia.org/resource/At_(Unix)
A.t.	Automatic transmission				http://dbpedia.org/resource/Automatic_transmission
A.t.	Assistive technology				http://dbpedia.org/resource/Assistive_technology
A.t.	.at				http://dbpedia.org/resource/.at
A.t.	IBM Personal Computer/AT				http://dbpedia.org/resource/IBM_Personal_Computer/AT
A.t.	Appalachian Trail				http://dbpedia.org/resource/Appalachian_Trail
A.t.	Acceptance testing				http://dbpedia.org/resource/Acceptance_testing
A.t.	Antithrombin				http://dbpedia.org/resource/Antithrombin
A.t.	Astatine				http://dbpedia.org/resource/Astatine
A.t.	Tesla (unit)				http://dbpedia.org/resource/Tesla_(unit)
A.t.	Austria				http://dbpedia.org/resource/Austria
A.t.	Technical atmosphere				http://dbpedia.org/resource/Technical_atmosphere
A.t.	AT (form factor)				http://dbpedia.org/resource/AT_(form_factor)
A.t.	Appropriate technology				http://dbpedia.org/resource/Appropriate_technology
A.t.	Archive Team				http://dbpedia.org/resource/Archive_Team
A.t.r.	All That Remains (band)				http://dbpedia.org/resource/All_That_Remains_(band)
A.t.r.	Americans for Tax Reform				http://dbpedia.org/resource/Americans_for_Tax_Reform
A.t.r.	Attenuated total reflectance				http://dbpedia.org/resource/Attenuated_total_reflectance
A.t.r.	Anti-tank rifle				http://dbpedia.org/resource/Anti-tank_rifle
A.t.r.	Average true range				http://dbpedia.org/resource/Average_true_range
A.t.r.	Selection and Training in the British Army				http://dbpedia.org/resource/Selection_and_Training_in_the_British_Army
A.t.r.	Answer to reset				http://dbpedia.org/resource/Answer_to_reset
A.t.r.	Absent Teacher Reserve				http://dbpedia.org/resource/Absent_Teacher_Reserve
A.t.r.	Advanced and retracted tongue root				http://dbpedia.org/resource/Advanced_and_retracted_tongue_root
A.t.r.	Atari Teenage Riot				http://dbpedia.org/resource/Atari_Teenage_Riot
A.t.r.	ATR (company)				http://dbpedia.org/resource/ATR_(company)
